date,scrap_type,title,original_title,genre,score,annee,public,time,langue,pays,description,acteur
2022-12-14 16:58:23.774031,film,Modern Times,Modern Times,Comedy,8.5/10,1936,Tous publics,87min,English,United States,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"[' Charles Chaplin', ' Paulette Goddard', ' Henry Bergman', ' Tiny Sandford', ' Chester Conklin']"
2022-12-14 16:58:20.395831,film,City Lights,City Lights,Comedy,8.5/10,1931,Tous publics,87min,"None,English",United States,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","[' Virginia Cherrill', ' Florence Lee', ' Harry Myers', ' Al Ernest Garcia', ' Hank Mann']"
2022-12-14 16:57:51.999236,film,Top Gun: Maverick,Top Gun: Maverick,Action,8.4/10,2022,Tous publics,130min,English,United States,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ..., ","[' Tom Cruise', ' Val Kilmer', ' Miles Teller', ' Jennifer Connelly', ' Bashir Salahuddin']"
2022-12-14 16:57:34.007346,film,Hamilton,Hamilton,Biography,8.4/10,2020,Tous publics,160min,English,United States,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi..., ","[' Daveed Diggs', ' Renée Elise Goldsberry', ' Jonathan Groff', ' Chris Jackson', ' Jasmine Cephas Jones']"
2022-12-14 16:58:02.695203,film,Avengers: Endgame,Avengers: Endgame,Action,8.4/10,2019,Tous publics,181min,"English,Japanese,Xhosa,German",United States,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action..., ","[' Robert Downey Jr.', ' Chris Evans', ' Mark Ruffalo', ' Chris Hemsworth', ' Scarlett Johansson']"
2022-12-14 16:58:03.065860,film,Joker,Joker,Crime,8.4/10,2019,Tous publics avec avertissement,122min,English,United States,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"[' Joaquin Phoenix', ' Robert De Niro', ' Zazie Beetz', ' Frances Conroy', ' Brett Cullen']"
2022-12-14 16:57:46.792378,film,Capernaum,Capharnaüm,Drama,8.4/10,2018,Tous publics avec avertissement,126min,"Arabic,Amharic",Lebanon,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","[' Zain Al Rafeea', ' Yordanos Shiferaw', ' Boluwatife Treasure Bankole', ' Kawsar Al Haddad', ' Fadi Yousef']"
2022-12-14 16:58:10.717449,film,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,Animation,8.4/10,2018,Tous publics,117min,"English,Spanish",United States,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","[' Shameik Moore', ' Jake Johnson', ' Hailee Steinfeld', ' Mahershala Ali', ' Brian Tyree Henry']"
2022-12-14 16:58:17.158188,film,Avengers: Infinity War,Avengers: Infinity War,Action,8.4/10,2018,Tous publics,149min,English,United States,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"[' Robert Downey Jr.', ' Chris Hemsworth', ' Mark Ruffalo', ' Chris Evans', ' Scarlett Johansson']"
2022-12-14 16:58:02.022455,film,Coco,Coco,Animation,8.4/10,2017,Tous publics,105min,"English,Spanish",United States,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","[' Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt', ' Alanna Ubach', ' Renee Victor']"
2022-12-14 16:57:51.891487,film,Your Name.,Kimi no Na wa.,Animation,8.4/10,2016,Tous publics,106min,Japanese,Japan,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","[' Ryûnosuke Kamiki', ' Mone Kamishiraishi', ' Ryô Narita', ' Aoi Yûki', ' Nobunaga Shimazaki']"
2022-12-14 16:58:10.822614,film,The Dark Knight Rises,The Dark Knight Rises,Action,8.4/10,2012,Tous publics,164min,"English,Arabic",United States,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","[' Christian Bale', ' Gary Oldman', ' Tom Hardy', ' Joseph Gordon-Levitt', ' Anne Hathaway']"
2022-12-14 16:58:17.648968,film,Django Unchained,Django Unchained,Drama,8.4/10,2012,Tous publics avec avertissement,165min,"English,German,French,Italian",United States,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","[' Jamie Foxx', ' Christoph Waltz', ' Leonardo DiCaprio', ' Kerry Washington', ' Samuel L. Jackson']"
2022-12-14 16:57:50.637169,film,3 Idiots,3 Idiots,Comedy,8.4/10,2009,Tous publics,170min,"Hindi,English",India,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t..., ","[' Aamir Khan', ' Madhavan', ' Sharman Joshi', ' Kareena Kapoor', ' Boman Irani']"
2022-12-14 16:58:17.259453,film,WALL·E,WALL·E,Animation,8.4/10,2008,Tous publics,98min,"English,Hindi",United States,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","[' Ben Burtt', ' Elissa Knight', ' Jeff Garlin', ' Fred Willard', ' MacInTalk']"
2022-12-14 16:57:23.470772,film,Like Stars on Earth,Taare Zameen Par,Drama,8.4/10,2007,Tous publics,165min,Hindi,India,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","[' Darsheel Safary', ' Aamir Khan', ' Tisca Chopra', ' Vipin Sharma', ' Sachet Engineer']"
2022-12-14 16:58:16.741245,film,The Lives of Others,Das Leben der Anderen,Drama,8.4/10,2006,Tous publics avec avertissement,137min,German,Germany,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","[' Martina Gedeck', ' Ulrich Mühe', ' Sebastian Koch', ' Ulrich Tukur', ' Thomas Thieme']"
2022-12-14 16:58:00.840235,film,Oldboy,Oldeuboi,Action,8.4/10,2003,Tous publics avec avertissement,2min,Korean,South Korea,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","[' Choi Min-sik', ' Yoo Ji-tae', ' Kang Hye-jeong', ' Kim Byeong-Ok', ' Dae-han Ji']"
2022-12-14 16:58:18.946709,film,Memento,Memento,Mystery,8.4/10,2000,Tous publics avec avertissement,113min,English,United States,A man with short-term memory loss attempts to track down his wife's murderer.,"[' Guy Pearce', ' Carrie-Anne Moss', ' Joe Pantoliano', ' Mark Boone Junior', ' Russ Fega']"
2022-12-14 16:58:06.066674,film,American Beauty,American Beauty,Drama,8.4/10,1999,Tous publics avec avertissement,122min,English,United States,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"[' Kevin Spacey', ' Annette Bening', ' Thora Birch', ' Wes Bentley', ' Mena Suvari']"
2022-12-14 16:57:55.678190,film,Princess Mononoke,Mononoke-hime,Animation,8.4/10,1997,Tous publics,134min,Japanese,Japan,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th..., ","[' Billy Crudup', ' Billy Bob Thornton', ' Minnie Driver', ' John DiMaggio', ' Claire Danes']"
2022-12-14 16:57:57.722612,film,Braveheart,Braveheart,Biography,8.4/10,1995,Tous publics avec avertissement,178min,"English,French,Latin,Gaelic,Italian",United States,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"[' James Robinson', ' Sean Lawlor', ' Sandy Nelson', ' James Cosmo', ' Sean McGinley']"
2022-12-14 16:58:07.585840,film,Aliens,Aliens,Action,8.4/10,1986,Tous publics avec avertissement,137min,"English,Spanish",United Kingdom,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen..., ","[' Sigourney Weaver', ' Carrie Henn', ' Michael Biehn', ' Paul Reiser', ' Lance Henriksen']"
2022-12-14 16:57:38.992070,film,Come and See,Idi i smotri,Drama,8.4/10,1985,Tous publics,142min,,Soviet Union,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","[' Aleksey Kravchenko', ' Olga Mironova', ' Liubomiras Laucevicius', ' Vladas Bagdonas', ' Jüri Lumiste']"
2022-12-14 16:58:04.668751,film,Amadeus,Amadeus,Biography,8.4/10,1984,Tous publics,160min,"English,Italian,Latin,German,French",United States,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him..., ","[' F. Murray Abraham', ' Tom Hulce', ' Elizabeth Berridge', ' Roy Dotrice', ' Simon Callow']"
2022-12-14 16:58:20.512765,film,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,Action,8.4/10,1981,Tous publics,115min,"English,German,Hebrew,Spanish,Arabic,Nepali",United States,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","[' Harrison Ford', ' Karen Allen', ' Paul Freeman', ' Ronald Lacey', ' John Rhys-Davies']"
2022-12-14 16:58:10.390062,film,The Shining,The Shining,Drama,8.4/10,1980,Tous publics avec avertissement,146min,English,United Kingdom,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","[' Jack Nicholson', ' Shelley Duvall', ' Danny Lloyd', ' Scatman Crothers', ' Barry Nelson']"
2022-12-14 16:58:04.543354,film,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8.4/10,1964,Tous publics,95min,"English,Russian",United Kingdom,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","[' Peter Sellers', ' George C. Scott', ' Sterling Hayden', ' Keenan Wynn', ' Slim Pickens']"
2022-12-14 16:57:48.026139,film,High and Low,Tengoku to jigoku,Crime,8.4/10,1963,Tous publics,143min,,Japan,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"[' Toshirô Mifune', ' Tatsuya Nakadai', ' Kyôko Kagawa', ' Tatsuya Mihashi', ' Isao Kimura']"
2022-12-14 16:58:08.383776,film,Witness for the Prosecution,Witness for the Prosecution,Crime,8.4/10,1957,Tous publics,116min,,United States,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"[' Tyrone Power', ' Marlene Dietrich', ' Charles Laughton', ' Elsa Lanchester', ' John Williams']"
2022-12-14 16:58:13.426037,film,Paths of Glory,Paths of Glory,Drama,8.4/10,1957,Tous publics,88min,,United States,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","[' Kirk Douglas', ' Ralph Meeker', ' Adolphe Menjou', ' George Macready', ' Wayne Morris']"
2022-12-14 16:58:17.278200,film,Sunset Blvd.,Sunset Blvd.,Drama,8.4/10,1950,Tous publics,110min,,United States,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"[' William Holden', ' Gloria Swanson', ' Erich von Stroheim', ' Nancy Olson', ' Fred Clark']"
2022-12-14 16:58:10.540948,film,The Great Dictator,The Great Dictator,Comedy,8.4/10,1940,Tous publics,125min,"English,Esperanto,Latin",United States,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"[' Charles Chaplin', ' Jack Oakie', ' Reginald Gardiner', ' Henry Daniell', ' Billy Gilbert']"
2022-12-14 16:57:02.785873,film,Spider-Man: No Way Home,Spider-Man: No Way Home,Action,8.3/10,2021,Tous publics,148min,English,United States,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul..., ","[' Tom Holland', ' Zendaya', ' Benedict Cumberbatch', ' Jacob Batalon', ' Jon Favreau']"
2022-12-14 16:57:18.791511,film,Dangal,Dangal,Action,8.3/10,2016,Tous publics,161min,"Hindi,English",India,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"[' Aamir Khan', ' Fatima Sana Shaikh', ' Sanya Malhotra', ' Sakshi Tanwar', ' Aparshakti Khurana']"
2022-12-14 16:57:41.713959,film,The Hunt,Jagten,Drama,8.3/10,2012,Tous publics avec avertissement,115min,"Danish,English,Polish",Denmark,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to..., ","[' Mads Mikkelsen', ' Thomas Bo Larsen', ' Annika Wedderkopp', ' Lasse Fogelstrøm', ' Susse Wold']"
2022-12-14 16:57:25.247096,film,A Separation,Jodaeiye Nader az Simin,Drama,8.3/10,2011,Tous publics,123min,Persian,Iran,"A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei..., ","[' Payman Maadi', ' Leila Hatami', ' Sareh Bayat', ' Shahab Hosseini', ' Sarina Farhadi']"
2022-12-14 16:57:29.510295,film,Incendies,Incendies,Drama,8.3/10,2010,Tous publics avec avertissement,131min,"French,Arabic,English",Canada,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"[' Mustafa Kamel', ' Hussein Sami', ' Rémy Girard', ' Mélissa Désormeaux-Poulin', ' Maxim Gaudette']"
2022-12-14 16:57:48.507207,film,Toy Story 3,Toy Story 3,Animation,8.3/10,2010,Tous publics,103min,"English,Spanish",United States,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ..., ","[' Tom Hanks', ' Tim Allen', ' Joan Cusack', ' Ned Beatty', ' Don Rickles']"
2022-12-14 16:57:30.563384,film,Up,Up,Animation,8.3/10,2009,Tous publics,96min,English,United States,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","[' Edward Asner', ' Christopher Plummer', ' Jordan Nagai', ' Bob Peterson', ' Delroy Lindo']"
2022-12-14 16:58:04.886529,film,Inglourious Basterds,Inglourious Basterds,Adventure,8.3/10,2009,Tous publics avec avertissement,153min,"English,German,French,Italian",Germany,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","[' Brad Pitt', ' Mélanie Laurent', ' Christoph Waltz', ' Eli Roth', ' Michael Fassbender']"
2022-12-14 16:57:45.014693,film,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,Drama,8.3/10,2004,Tous publics avec avertissement,108min,English,United States,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","[' Jim Carrey', ' Kate Winslet', ' Gerry Robert Byrne', ' Elijah Wood', ' Thomas Jay Ryan']"
2022-12-14 16:57:36.245709,film,Amélie,Le fabuleux destin d'Amélie Poulain,Comedy,8.3/10,2001,Tous publics avec avertissement,122min,"French,Russian,English",France,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","[' Audrey Tautou', ' Mathieu Kassovitz', ' Rufus', ' Lorella Cravotta', ' Serge Merlin']"
2022-12-14 16:57:51.739388,film,Requiem for a Dream,Requiem for a Dream,Drama,8.3/10,2000,16+,102min,English,United States,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"[' Ellen Burstyn', ' Jared Leto', ' Jennifer Connelly', ' Marlon Wayans', ' Christopher McDonald']"
2022-12-14 16:57:56.570669,film,Good Will Hunting,Good Will Hunting,Drama,8.3/10,1997,Tous publics avec avertissement,126min,English,United States,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","[' Matt Damon', ' Ben Affleck', ' Stellan Skarsgård', ' John Mighton', ' Rachel Majorowski']"
2022-12-14 16:57:27.553361,film,Heat,Heat,Action,8.3/10,1995,Tous publics avec avertissement,170min,"English,Spanish",United States,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"[' Al Pacino', ' Robert De Niro', ' Val Kilmer', ' Jon Voight', ' Tom Sizemore']"
2022-12-14 16:58:01.538643,film,Toy Story,Toy Story,Animation,8.3/10,1995,Tous publics,81min,English,United States,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"[' Tom Hanks', ' Tim Allen', ' Don Rickles', ' Jim Varney', ' Wallace Shawn']"
2022-12-14 16:57:44.588115,film,Reservoir Dogs,Reservoir Dogs,Crime,8.3/10,1992,Tous publics avec avertissement,99min,English,United States,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","[' Harvey Keitel', ' Tim Roth', ' Michael Madsen', ' Chris Penn', ' Steve Buscemi']"
2022-12-14 16:57:34.799335,film,Full Metal Jacket,Full Metal Jacket,Drama,8.3/10,1987,Tous publics avec avertissement,116min,,United Kingdom,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"[' Matthew Modine', ' Adam Baldwin', "" Vincent D'Onofrio"", ' R. Lee Ermey', ' Dorian Harewood']"
2022-12-14 16:57:55.547958,film,Once Upon a Time in America,Once Upon a Time in America,Crime,8.3/10,1984,Tous publics avec avertissement,229min,"English,Italian,French,Yiddish,Hebrew",Italy,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","[' Robert De Niro', ' James Woods', ' Elizabeth McGovern', ' Treat Williams', ' Tuesday Weld']"
2022-12-14 16:57:50.688603,film,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,Action,8.3/10,1983,Tous publics,131min,"English,Kikuyu,Tagalog,Kalmyk-Oirat,Quechua,Polish",United States,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark..., ","[' Mark Hamill', ' Harrison Ford', ' Carrie Fisher', ' Billy Dee Williams', ' Anthony Daniels']"
2022-12-14 16:59:02.185235,film,Scarface,Scarface,Crime,8.3/10,1983,Tous publics avec avertissement,170min,"English,Spanish",United States,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","[' Al Pacino', ' Steven Bauer', ' Michelle Pfeiffer', ' Mary Elizabeth Mastrantonio', ' Robert Loggia']"
2022-12-14 16:57:30.301678,film,The Sting,The Sting,Comedy,8.3/10,1973,Tous publics,129min,,United States,Two grifters team up to pull off the ultimate con.,"[' Paul Newman', ' Robert Redford', ' Robert Shaw', ' Charles Durning', ' Ray Walston']"
2022-12-14 16:57:38.310602,film,A Clockwork Orange,A Clockwork Orange,Crime,8.3/10,1971,18+,136min,,United Kingdom,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","[' Malcolm McDowell', ' Patrick Magee', ' Michael Bates', ' Warren Clarke', ' John Clive']"
2022-12-14 16:57:46.607314,film,2001: A Space Odyssey,2001: A Space Odyssey,Adventure,8.3/10,1968,Tous publics,149min,"English,Russian,French",United Kingdom,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 900..., ","[' Keir Dullea', ' Gary Lockwood', ' William Sylvester', ' Daniel Richter', ' Leonard Rossiter']"
2022-12-14 16:57:32.433871,film,To Kill a Mockingbird,To Kill a Mockingbird,Crime,8.3/10,1962,Tous publics,129min,English,United States,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","[' Gregory Peck', ' John Megna', ' Frank Overton', ' Rosemary Murphy', ' Ruth White']"
2022-12-14 16:57:40.154308,film,Lawrence of Arabia,Lawrence of Arabia,Adventure,8.3/10,1962,Tous publics,218min,"English,Arabic,Turkish",United Kingdom,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","["" Peter O'Toole"", ' Alec Guinness', ' Anthony Quinn', ' Jack Hawkins', ' Omar Sharif']"
2022-12-14 16:57:10.402669,film,Judgment at Nuremberg,Judgment at Nuremberg,Drama,8.3/10,1961,Tous publics,179min,,United States,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","[' Spencer Tracy', ' Burt Lancaster', ' Richard Widmark', ' Marlene Dietrich', ' Maximilian Schell']"
2022-12-14 16:57:36.592838,film,The Apartment,The Apartment,Comedy,8.3/10,1960,Tous publics,125min,,United States,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","[' Jack Lemmon', ' Shirley MacLaine', ' Fred MacMurray', ' Ray Walston', ' Jack Kruschen']"
2022-12-14 16:57:41.856654,film,North by Northwest,North by Northwest,Action,8.3/10,1959,Tous publics,136min,,United States,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","[' Cary Grant', ' Eva Marie Saint', ' James Mason', ' Jessie Royce Landis', ' Leo G. Carroll']"
2022-12-14 16:57:37.914452,film,Vertigo,Vertigo,Mystery,8.3/10,1958,Tous publics,128min,English,United States,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis..., ","[' James Stewart', ' Kim Novak', ' Barbara Bel Geddes', ' Tom Helmore', ' Henry Jones']"
2022-12-14 16:56:01.460292,film,Pather Panchali,Pather Panchali,Drama,8.3/10,1955,Tous publics,125min,,India,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.","[' Kanu Bannerjee', ' Karuna Bannerjee', ' Chunibala Devi', ' Uma Das Gupta', ' Subir Banerjee']"
2022-12-14 16:57:35.093725,film,Ikiru,Ikiru,Drama,8.3/10,1952,Tous publics,143min,,Japan,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,"[' Takashi Shimura', "" Shin'ichi Himori"", ' Haruo Tanaka', ' Minoru Chiaki', ' Miki Odagiri']"
2022-12-14 16:57:49.670320,film,Singin' in the Rain,Singin' in the Rain,Comedy,8.3/10,1952,Tous publics,103min,,United States,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"[' Gene Kelly', "" Donald O'Connor"", ' Debbie Reynolds', ' Jean Hagen', ' Millard Mitchell']"
2022-12-14 16:57:23.134071,film,Bicycle Thieves,Ladri di biciclette,Drama,8.3/10,1948,Tous publics,89min,,Italy,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","[' Lamberto Maggiorani', ' Enzo Staiola', ' Lianella Carell', ' Elena Altieri', ' Gino Saltamerenda']"
2022-12-14 16:57:33.935022,film,Double Indemnity,Double Indemnity,Crime,8.3/10,1944,Tous publics,107min,English,United States,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato..., ","[' Fred MacMurray', ' Barbara Stanwyck', ' Edward G. Robinson', ' Porter Hall', ' Jean Heather']"
2022-12-14 16:57:39.691465,film,Citizen Kane,Citizen Kane,Drama,8.3/10,1941,Tous publics,119min,"English,Italian",United States,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","[' Joseph Cotten', ' Dorothy Comingore', ' Agnes Moorehead', ' Ruth Warrick', ' Ray Collins']"
2022-12-14 16:57:39.638107,film,M,M - Eine Stadt sucht einen Mörder,Crime,8.3/10,1931,Tous publics,99min,,Germany,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","[' Peter Lorre', ' Ellen Widmann', ' Inge Landgut', ' Otto Wernicke', ' Theodor Loos']"
2022-12-14 16:57:25.848550,film,Metropolis,Metropolis,Drama,8.3/10,1927,Tous publics,153min,"German,English",Germany,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a..., ","[' Alfred Abel', ' Gustav Fröhlich', ' Rudolf Klein-Rogge', ' Fritz Rasp', ' Theodor Loos']"
2022-12-14 16:57:15.963979,film,The Kid,The Kid,Comedy,8.3/10,1921,Tous publics,68min,English,United States,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","[' Charles Chaplin', ' Jackie Coogan', ' Carl Miller', ' Edna Purviance', ' Albert Austin']"
2022-12-14 16:57:14.712631,film,The Father,The Father,Drama,8.2/10,2020,Tous publics,97min,English,United Kingdom,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his..., ","[' Olivia Colman', ' Anthony Hopkins', ' Mark Gatiss', ' Olivia Williams', ' Imogen Poots']"
2022-12-14 16:57:22.814244,film,1917,1917,Action,8.2/10,2019,Tous publics avec avertissement,119min,"English,French,German",United Kingdom,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa..., ","[' Dean-Charles Chapman', ' George MacKay', ' Daniel Mays', ' Colin Firth', ' Pip Carter']"
2022-12-14 16:57:13.611002,film,Green Book,Green Book,Biography,8.2/10,2018,Tous publics,130min,"English,Italian,Russian,German",United States,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"[' Viggo Mortensen', ' Mahershala Ali', ' Linda Cardellini', ' Sebastian Maniscalco', ' Dimiter D. Marinov']"
2022-12-14 16:56:51.783911,film,Inside Out,Inside Out,Animation,8.2/10,2015,Tous publics,95min,"English,Portuguese",United States,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and..., ","[' Amy Poehler', ' Phyllis Smith', ' Richard Kind', ' Bill Hader', ' Lewis Black']"
2022-12-14 16:57:16.185836,film,The Wolf of Wall Street,The Wolf of Wall Street,Biography,8.2/10,2013,Tous publics avec avertissement,3min,"English,French",United States,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","[' Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie', ' Matthew McConaughey', ' Kyle Chandler']"
2022-12-14 16:56:46.032806,film,Warrior,Warrior,Action,8.2/10,2011,Tous publics,140min,"English,Spanish",United States,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ..., ","[' Joel Edgerton', ' Tom Hardy', ' Nick Nolte', ' Jennifer Morrison', ' Frank Grillo']"
2022-12-14 16:57:05.433782,film,Shutter Island,Shutter Island,Mystery,8.2/10,2010,Tous publics avec avertissement,138min,"English,German",United States,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","[' Leonardo DiCaprio', ' Mark Ruffalo', ' Ben Kingsley', ' Max von Sydow', ' Michelle Williams']"
2022-12-14 16:56:48.721418,film,The Secret in Their Eyes,El secreto de sus ojos,Drama,8.2/10,2009,Tous publics avec avertissement,129min,Spanish,Argentina,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi..., ","[' Soledad Villamil', ' Ricardo Darín', ' Carla Quevedo', ' Pablo Rago', ' Javier Godino']"
